"id","name","slug","category_id","description","status","display_order","created_at","updated_at"
1,"Generative AI","generative-ai",1,"Specialized generative ai services under ai & data services. Our expert team provides comprehensive generative ai solutions that deliver measurable business results and drive innovation.","active",0,"2025-07-29 05:22:35.02648","2025-07-29 05:22:35.02648"
2," AI Agents & Chatbots","ai-agents-chatbots",1,"Specialized  ai agents & chatbots services under ai & data services. Our expert team provides comprehensive  ai agents & chatbots solutions that deliver measurable business results and drive innovation.","active",2,"2025-07-29 05:40:28.630684","2025-07-29 05:40:28.630684"
3,"Data & ML Operations","data-ml-operations",1,"Specialized data & ml operations services under ai & data services. Our expert team provides comprehensive data & ml operations solutions that deliver measurable business results and drive innovation.","active",3,"2025-07-29 05:40:44.712402","2025-07-29 05:40:44.712402"
4,"AI-Enhanced Web Apps","ai-enhanced-web-apps",2,"Specialized ai-enhanced web apps services under web & software development. Our expert team provides comprehensive ai-enhanced web apps solutions that deliver measurable business results and drive innovation.","active",1,"2025-07-29 05:43:32.05388","2025-07-29 05:43:32.05388"
19,"Blockchain Development","blockchain-development",3,"Specialized blockchain development services under blockchain & web3. Our expert team provides comprehensive blockchain development solutions that deliver measurable business results and drive innovation.","active",1,"2025-07-31 11:44:07.153296","2025-07-31 11:44:07.153296"
20,"Security & Audits","security-audits",3,"Specialized security & audits services under blockchain & web3. Our expert team provides comprehensive security & audits solutions that deliver measurable business results and drive innovation.","active",0,"2025-07-31 11:44:21.581903","2025-07-31 11:44:21.581903"
21,"dApps & Web3 Solutions","dapps-web3-solutions",3,"Specialized dapps & web3 solutions services under blockchain & web3. Our expert team provides comprehensive dapps & web3 solutions solutions that deliver measurable business results and drive innovation.","active",0,"2025-07-31 11:44:46.665978","2025-07-31 11:44:46.665978"
22,"DeFi & Tokenomics","defi-tokenomics",3,"Specialized defi & tokenomics services under blockchain & web3. Our expert team provides comprehensive defi & tokenomics solutions that deliver measurable business results and drive innovation.","active",0,"2025-07-31 11:45:00.264471","2025-07-31 11:45:00.264471"
23,"NFT & Identity","nft-identity",3,"Specialized nft & identity services under blockchain & web3. Our expert team provides comprehensive nft & identity solutions that deliver measurable business results and drive innovation.","active",0,"2025-07-31 11:45:15.677951","2025-07-31 11:45:15.677951"
24,"AI for E-commerce","ai-for-e-commerce",4,"Specialized ai for e-commerce services under e-commerce solutions. Our expert team provides comprehensive ai for e-commerce solutions that deliver measurable business results and drive innovation.","active",0,"2025-07-31 11:58:41.362905","2025-07-31 11:58:41.362905"
