"id","name","slug","category_id","description","status","display_order","created_at","updated_at"
1,"AI & Machine Learning","ai-machine-learning",1,"Custom AI models, machine learning, and intelligent automation solutions","active",1,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
2,"Data Science","data-science",1,"Data analytics, big data processing, and business intelligence solutions","active",2,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
3,"Automation","automation",1,"Process automation, RPA, and intelligent workflow solutions","active",3,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
4,"Full Stack & Web","full-stack-web",2,"Complete web application development with modern frameworks","active",1,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
5,"API & Integrations","api-integrations",2,"RESTful APIs, microservices, and system integrations","active",2,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
6,"Custom Software & SaaS","custom-software-saas",2,"Bespoke software solutions and Software-as-a-Service platforms","active",3,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
7,"Mobile Development","mobile-development",3,"Native and cross-platform mobile application development","active",1,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
8,"Game & Immersive Tech","game-immersive-tech",3,"Game development, AR/VR, and immersive technology solutions","active",2,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
9,"Blockchain & Decentralization","blockchain-decentralization",4,"Blockchain development, smart contracts, and decentralized applications","active",1,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
10,"Cloud Computing","cloud-computing",5,"Cloud architecture, migration, and scalable infrastructure solutions","active",1,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
11,"DevOps & Infrastructure","devops-infrastructure",5,"DevOps automation, CI/CD, and infrastructure management","active",2,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
12,"CRM & ERP","crm-erp",6,"Customer relationship management and enterprise resource planning systems","active",1,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
13,"CMS","cms",6,"Content management systems and digital content solutions","active",2,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
14,"IT & Digital Strategy","it-digital-strategy",6,"IT consulting and digital transformation strategy","active",3,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
15,"E-commerce Platforms","ecommerce-platforms",7,"Complete e-commerce platform development and optimization","active",1,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
16,"Embedded Systems","embedded-systems",8,"Embedded software development and firmware solutions","active",1,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
17,"IoT Solutions","iot-solutions",8,"Internet of Things development and smart device solutions","active",2,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
18,"UI/UX Design","ui-ux-design",9,"User interface and user experience design for web and mobile","active",1,"2025-07-24 11:23:33.152982","2025-07-24 11:23:33.152982"
